ID,Sol,Blue,White,Black,n_stmts,max_per_box,f_content,f_identity,f_adjacency,f_truthref,f_boxagg,f_coupling,f_globalcount,oos_type,in_scope,notes
95,1,THE GEMS ARE IN THE BLACK BOX.,THE GEMS ARE IN THE WHITE BOX.,ONLY ONE BOX DISPLAYS A TRUE STATEMENT.,3,1,1,0,0,1,0,0,0,-,Y,
96,2,ONLY ONE BOX IS TRUE.,ONLY ONE BOX CONTAINS GEMS.,THE GEMS ARE IN THE WHITE BOX.,3,1,1,0,0,1,0,0,0,-,Y,
97,2,ONLY ONE BOX IS TRUE.,THE BLACK BOX CONTAINS THE GEMS.,THE BLUE BOX CONTAINS THE GEMS.,3,1,1,0,0,1,0,0,0,-,Y,
98,2,THE BOX NEXT TO THIS BOX IS FALSE.,A BOX NEXT TO THIS BOX IS TRUE.,THE BOX NEXT TO THIS BOX CONTAINS GEMS.,3,1,1,0,1,1,0,0,0,-,Y,
99,2,THE BLACK BOX IS TRUE.,THE GEMS ARE IN THE TRUE BOX.,THE BLUE BOX IS TRUE.,3,1,0,0,0,1,0,1,0,-,Y,
100,3,THE GEMS ARE IN THE FALSE BOX.,THE GEMS ARE IN THE FALSE BOX.,ONLY ONE OF THE OTHER BOXES IS FALSE.,3,1,0,0,0,1,0,1,0,-,Y,
101,2,THE GEMS ARE IN THE WHITE BOX.,"STATEMENTS WITH THE WORD WHITE"" ARE ALWAYS TRUE.""",THE STATEMENT ON THE WHITE BOX IS TRUE.,3,1,1,0,0,1,0,0,0,META,N,HARD - mention de mot: 'the word WHITE'
102,1,THE GEMS ARE IN THE WHITE BOX.,A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS.,THE STATEMENT ON THE WHITE BOX IS TRUE.,3,1,1,0,0,1,0,1,0,-,Y,
103,2,A BOX NEXT TO THIS BOX CONTAINS THE GEMS.,,A BOX NEXT TO THIS BOX DISPLAYS A FALSE STATEMENT.,2,1,0,0,1,1,0,0,0,-,Y,
104,3,THE GEMS ARE IN THIS BOX.,THE GEMS ARE IN A BOX NEXT TO THIS BOX.,THE GEMS ARE IN THE BLUE BOX.,3,1,1,0,1,0,0,1,0,-,Y,
105,2,THIS BOX IS BLUE.,THE GEMS ARE IN A TRUE BOX.,THIS BOX IS BLACK.,3,1,0,1,0,1,0,1,0,-,Y,
106,3,THE GEMS ARE IN A BOX WITH THE WORD “BLUE” ON IT.,,THE GEMS ARE IN A BOX THAT IS ACTUALLY BLUE.,2,1,0,0,0,0,0,1,0,META,N,HARD - mention de mot: 'the word BLUE'
107,1,THE BLACK BOX IS FALSE.,THE BLACK BOX IS TRUE.,A FALSE BOX CONTAINS THE GEMS.,3,1,0,0,0,1,0,1,0,-,Y,
108,3,THE BLACK BOX IS BLACK.,THE BLACK BOX IS TRUE.,THE BLACK BOX IS EMPTY.,3,1,1,1,0,1,0,0,0,-,Y,
109,3,THIS BOX AND THE WHITE BOX ARE BOTH EMPTY.,THIS BOX AND THE BLUE BOX ARE BOTH EMPTY.,THE OTHER TWO STATEMENTS HAVE IDENTICAL WORDING.,3,1,1,0,0,0,0,0,0,SAME,N,HARD - 'identical wording'
110,3,GEMS ARE IN BOTH THE BLACK BOX AND THE WHITE BOX.,GEMS ARE IN BOTH THE BLUE BOX AND THE BLACK BOX.,GEMS ARE NOT IN THE WHITE BOX OR THE BLUE BOX.,3,1,1,0,0,0,0,0,0,-,Y,
